,Sequence_name,Prediction,probability
66,|1|Training,Non-autophagy protein,92.37%
67,|1|Training,Non-autophagy protein,71.48%
68,|1|Training,Non-autophagy protein,97.42%
69,|1|Training,Non-autophagy protein,88.05%
70,|1|Training,Non-autophagy protein,75.29%
71,|1|Training,Non-autophagy protein,66.52%
72,|1|Training,Non-autophagy protein,97.17%
73,|1|Training,Non-autophagy protein,96.55%
74,|1|Training,Non-autophagy protein,88.19%
75,|1|Training,Autophagy Protein,60.22%
76,|1|Training,Autophagy Protein,66.76%
77,|1|Training,Non-autophagy protein,62.94%
78,|1|Training,Non-autophagy protein,71.14%
79,|1|Training,Non-autophagy protein,54.11%
80,|1|Training,Non-autophagy protein,98.91%
81,|1|Training,Non-autophagy protein,83.85%
82,|1|Training,Non-autophagy protein,99.62%
83,|1|Training,Non-autophagy protein,98.49%
84,|1|Training,Non-autophagy protein,96.63%
85,|1|Training,Non-autophagy protein,98.69%
86,|1|Training,Non-autophagy protein,94.36%
87,|1|Training,Non-autophagy protein,98.37%
88,|1|Training,Autophagy Protein,62.57%
89,|1|Training,Non-autophagy protein,99.86%
90,|1|Training,Non-autophagy protein,73.78%
91,|1|Training,Non-autophagy protein,99.06%
92,|1|Training,Non-autophagy protein,65.80%
93,|1|Training,Non-autophagy protein,89.46%
94,|1|Training,Non-autophagy protein,85.96%
95,|1|Training,Non-autophagy protein,77.05%
96,|1|Training,Non-autophagy protein,93.61%
97,|1|Training,Non-autophagy protein,98.14%
98,|1|Training,Non-autophagy protein,99.51%
99,|1|Training,Non-autophagy protein,99.39%
100,|1|Training,Non-autophagy protein,78.17%
101,|1|Training,Non-autophagy protein,90.03%
102,|1|Training,Non-autophagy protein,72.78%
103,|1|Training,Non-autophagy protein,97.85%
104,|1|Training,Non-autophagy protein,78.75%
105,|1|Training,Non-autophagy protein,73.20%
106,|1|Training,Non-autophagy protein,79.82%
107,|1|Training,Non-autophagy protein,92.31%
108,|1|Training,Autophagy Protein,92.92%
109,|1|Training,Non-autophagy protein,80.46%
110,|1|Training,Autophagy Protein,85.37%
111,|1|Training,Non-autophagy protein,88.02%
112,|1|Training,Non-autophagy protein,97.19%
113,|1|Training,Non-autophagy protein,97.18%
114,|1|Training,Autophagy Protein,92.56%
115,|1|Training,Non-autophagy protein,57.98%
116,|1|Training,Autophagy Protein,89.70%
117,|1|Training,Non-autophagy protein,93.01%
118,|1|Training,Autophagy Protein,89.07%
119,|1|Training,Non-autophagy protein,96.06%
120,|1|Training,Non-autophagy protein,97.35%
121,|1|Training,Non-autophagy protein,99.79%
122,|1|Training,Non-autophagy protein,92.24%
123,|1|Training,Non-autophagy protein,99.23%
124,|1|Training,Non-autophagy protein,96.27%
125,|1|Training,Autophagy Protein,60.71%
126,|1|Training,Non-autophagy protein,82.60%
127,|1|Training,Non-autophagy protein,88.82%
128,|1|Training,Non-autophagy protein,83.55%
129,|1|Training,Non-autophagy protein,58.19%
130,|1|Training,Non-autophagy protein,95.62%
131,|1|Training,Non-autophagy protein,99.77%
132,|1|Training,Non-autophagy protein,94.27%
133,|1|Training,Non-autophagy protein,99.67%
134,|1|Training,Non-autophagy protein,84.56%
135,|1|Training,Non-autophagy protein,96.12%
136,|1|Training,Non-autophagy protein,99.12%
137,|1|Training,Non-autophagy protein,82.67%
138,|1|Training,Non-autophagy protein,99.77%
139,|1|Training,Non-autophagy protein,99.53%
140,|1|Training,Non-autophagy protein,94.94%
141,|1|Training,Non-autophagy protein,50.00%
142,|1|Training,Non-autophagy protein,99.49%
143,|1|Training,Non-autophagy protein,99.65%
144,|1|Training,Non-autophagy protein,93.37%
145,|1|Training,Non-autophagy protein,95.68%
146,|1|Training,Non-autophagy protein,85.36%
147,|1|Training,Non-autophagy protein,93.66%
148,|1|Training,Autophagy Protein,89.76%
149,|1|Training,Non-autophagy protein,94.02%
150,|1|Training,Non-autophagy protein,83.72%
151,|1|Training,Non-autophagy protein,81.54%
152,|1|Training,Non-autophagy protein,91.51%
153,|1|Training,Non-autophagy protein,87.13%
154,|1|Training,Non-autophagy protein,93.85%
155,|1|Training,Non-autophagy protein,97.92%
156,|1|Training,Autophagy Protein,53.45%
157,|1|Training,Autophagy Protein,70.05%
158,|1|Training,Non-autophagy protein,96.10%
159,|1|Training,Non-autophagy protein,92.47%
160,|1|Training,Non-autophagy protein,75.26%
161,|1|Training,Non-autophagy protein,81.13%
162,|1|Training,Non-autophagy protein,94.42%
163,|1|Training,Non-autophagy protein,97.73%
164,|1|Training,Non-autophagy protein,95.73%
165,|1|Training,Non-autophagy protein,50.00%
166,|1|Training,Non-autophagy protein,98.36%
167,|1|Training,Non-autophagy protein,92.87%
168,|1|Training,Non-autophagy protein,84.79%
169,|1|Training,Non-autophagy protein,76.82%
170,|1|Training,Non-autophagy protein,69.37%
171,|1|Training,Non-autophagy protein,93.41%
172,|1|Training,Non-autophagy protein,98.51%
173,|1|Training,Non-autophagy protein,90.57%
174,|1|Training,Non-autophagy protein,65.39%
175,|1|Training,Non-autophagy protein,99.59%
176,|1|Training,Non-autophagy protein,64.37%
177,|1|Training,Non-autophagy protein,98.58%
178,|1|Training,Non-autophagy protein,88.66%
179,|1|Training,Non-autophagy protein,87.69%
180,|1|Training,Non-autophagy protein,98.76%
181,|1|Training,Non-autophagy protein,82.01%
182,|1|Training,Non-autophagy protein,93.97%
183,|1|Training,Non-autophagy protein,95.29%
184,|1|Training,Non-autophagy protein,55.14%
185,|1|Training,Non-autophagy protein,99.71%
186,|1|Training,Non-autophagy protein,95.62%
187,|1|Training,Non-autophagy protein,96.21%
188,|1|Training,Non-autophagy protein,63.52%
189,|1|Training,Non-autophagy protein,92.84%
190,|1|Training,Non-autophagy protein,92.59%
191,|1|Training,Non-autophagy protein,98.54%
192,|1|Training,Non-autophagy protein,95.33%
193,|1|Training,Non-autophagy protein,94.84%
194,|1|Training,Non-autophagy protein,95.51%
195,|1|Training,Non-autophagy protein,96.49%
196,|1|Training,Non-autophagy protein,98.33%
197,|1|Training,Non-autophagy protein,96.07%
198,|1|Training,Autophagy Protein,60.25%
199,|1|Training,Non-autophagy protein,96.71%
200,|1|Training,Non-autophagy protein,99.37%
201,|1|Training,Non-autophagy protein,88.63%
202,|1|Training,Non-autophagy protein,62.21%
203,|1|Training,Non-autophagy protein,97.32%
204,|1|Training,Non-autophagy protein,55.17%
205,|1|Training,Non-autophagy protein,68.00%
206,|1|Training,Non-autophagy protein,99.33%
207,|1|Training,Non-autophagy protein,99.57%
208,|1|Training,Non-autophagy protein,98.60%
209,|1|Training,Non-autophagy protein,98.63%
210,|1|Training,Non-autophagy protein,94.61%
211,|1|Training,Non-autophagy protein,90.02%
212,|1|Training,Non-autophagy protein,87.77%
213,|1|Training,Autophagy Protein,96.17%
214,|1|Training,Non-autophagy protein,87.92%
215,|1|Training,Non-autophagy protein,99.59%
216,|1|Training,Non-autophagy protein,99.44%
217,|1|Training,Non-autophagy protein,93.50%
218,|1|Training,Non-autophagy protein,75.52%
219,|1|Training,Autophagy Protein,84.61%
220,|1|Training,Non-autophagy protein,99.24%
221,|1|Training,Autophagy Protein,58.46%
222,|1|Training,Non-autophagy protein,84.02%
223,|1|Training,Non-autophagy protein,68.60%
224,|1|Training,Non-autophagy protein,90.06%
225,|1|Training,Non-autophagy protein,86.39%
226,|1|Training,Non-autophagy protein,79.65%
227,|1|Training,Autophagy Protein,55.50%
228,|1|Training,Autophagy Protein,83.13%
229,|1|Training,Non-autophagy protein,95.73%
230,|1|Training,Non-autophagy protein,91.56%
231,|1|Training,Non-autophagy protein,99.39%
232,|1|Training,Non-autophagy protein,97.93%
233,|1|Training,Non-autophagy protein,61.46%
234,|1|Training,Non-autophagy protein,77.91%
235,|1|Training,Non-autophagy protein,96.39%
236,|1|Training,Non-autophagy protein,94.22%
237,|1|Training,Non-autophagy protein,96.07%
238,|1|Training,Non-autophagy protein,73.08%
239,|1|Training,Non-autophagy protein,67.17%
240,|1|Training,Non-autophagy protein,99.15%
241,|1|Training,Non-autophagy protein,94.07%
242,|1|Training,Non-autophagy protein,98.28%
243,|1|Training,Non-autophagy protein,91.69%
244,|1|Training,Non-autophagy protein,97.68%
245,|1|Training,Non-autophagy protein,90.04%
246,|1|Training,Non-autophagy protein,82.10%
247,|1|Training,Non-autophagy protein,98.13%
248,|1|Training,Non-autophagy protein,73.53%
249,|1|Training,Non-autophagy protein,56.49%
250,|1|Training,Non-autophagy protein,86.41%
251,|1|Training,Autophagy Protein,62.69%
252,|1|Training,Non-autophagy protein,86.37%
253,|1|Training,Non-autophagy protein,87.03%
254,|1|Training,Non-autophagy protein,77.16%
255,|1|Training,Non-autophagy protein,75.16%
256,|1|Training,Non-autophagy protein,77.69%
257,|1|Training,Non-autophagy protein,68.86%
258,|1|Training,Non-autophagy protein,96.03%
259,|1|Training,Non-autophagy protein,99.87%
260,|1|Training,Non-autophagy protein,82.05%
261,|1|Training,Autophagy Protein,52.72%
262,|1|Training,Non-autophagy protein,95.10%
263,|1|Training,Non-autophagy protein,94.95%
264,|1|Training,Autophagy Protein,92.96%
265,|1|Training,Non-autophagy protein,70.76%
266,|1|Training,Non-autophagy protein,48.15%
267,|1|Training,Non-autophagy protein,95.65%
268,|1|Training,Non-autophagy protein,97.17%
269,|1|Training,Autophagy Protein,73.94%
270,|1|Training,Non-autophagy protein,96.77%
271,|1|Training,Non-autophagy protein,99.38%
272,|1|Training,Non-autophagy protein,88.02%
273,|1|Training,Non-autophagy protein,99.82%
274,|1|Training,Autophagy Protein,87.75%
275,|1|Training,Non-autophagy protein,85.99%
276,|1|Training,Non-autophagy protein,94.91%
277,|1|Training,Autophagy Protein,55.37%
278,|1|Training,Non-autophagy protein,98.99%
279,|1|Training,Autophagy Protein,52.79%
280,|1|Training,Autophagy Protein,73.15%
281,|1|Training,Autophagy Protein,79.58%
282,|1|Training,Non-autophagy protein,96.53%
283,|1|Training,Non-autophagy protein,93.53%
284,|1|Training,Non-autophagy protein,95.78%
285,|1|Training,Autophagy Protein,91.21%
286,|1|Training,Non-autophagy protein,97.45%
287,|1|Training,Non-autophagy protein,93.95%
288,|1|Training,Non-autophagy protein,99.94%
289,|1|Training,Non-autophagy protein,92.12%
290,|1|Training,Non-autophagy protein,98.39%
291,|1|Training,Non-autophagy protein,99.67%
292,|1|Training,Autophagy Protein,57.20%
293,|1|Training,Non-autophagy protein,98.19%
294,|1|Training,Non-autophagy protein,97.66%
295,|1|Training,Non-autophagy protein,86.28%
296,|1|Training,Non-autophagy protein,99.25%
297,|1|Training,Autophagy Protein,58.32%
298,|1|Training,Non-autophagy protein,96.00%
299,|1|Training,Non-autophagy protein,93.46%
300,|1|Training,Non-autophagy protein,99.51%
301,|1|Training,Autophagy Protein,86.52%
302,|1|Training,Non-autophagy protein,68.94%
303,|1|Training,Non-autophagy protein,75.19%
304,|1|Training,Autophagy Protein,91.17%
305,|1|Training,Autophagy Protein,93.12%
306,|1|Training,Non-autophagy protein,97.27%
307,|1|Training,Non-autophagy protein,99.44%
308,|1|Training,Non-autophagy protein,97.37%
309,|1|Training,Non-autophagy protein,88.72%
310,|1|Training,Non-autophagy protein,73.81%
311,|1|Training,Non-autophagy protein,94.91%
312,|1|Training,Non-autophagy protein,98.10%
313,|1|Training,Autophagy Protein,91.54%
314,|1|Training,Non-autophagy protein,95.73%
315,|1|Training,Non-autophagy protein,98.37%
316,|1|Training,Autophagy Protein,68.28%
317,|1|Training,Autophagy Protein,73.61%
318,|1|Training,Non-autophagy protein,99.14%
319,|1|Training,Non-autophagy protein,93.64%
320,|1|Training,Non-autophagy protein,99.29%
321,|1|Training,Non-autophagy protein,66.22%
322,|1|Training,Autophagy Protein,59.13%
323,|1|Training,Non-autophagy protein,97.71%
324,|1|Training,Non-autophagy protein,81.58%
325,|1|Training,Non-autophagy protein,98.90%
326,|1|Training,Non-autophagy protein,67.20%
327,|1|Training,Non-autophagy protein,84.51%
328,|1|Training,Autophagy Protein,52.81%
329,|1|Training,Non-autophagy protein,83.66%
330,|1|Training,Non-autophagy protein,54.65%
331,|1|Training,Non-autophagy protein,98.38%
332,|1|Training,Non-autophagy protein,99.50%
333,|1|Training,Non-autophagy protein,54.05%
334,|1|Training,Non-autophagy protein,94.60%
335,|1|Training,Non-autophagy protein,99.61%
336,|1|Training,Non-autophagy protein,99.41%
337,|1|Training,Non-autophagy protein,63.16%
338,|1|Training,Non-autophagy protein,86.22%
339,|1|Training,Autophagy Protein,83.70%
340,|1|Training,Non-autophagy protein,96.58%
341,|1|Training,Non-autophagy protein,89.32%
342,|1|Training,Non-autophagy protein,93.44%
343,|1|Training,Non-autophagy protein,97.55%
344,|1|Training,Non-autophagy protein,77.11%
345,|1|Training,Non-autophagy protein,52.31%
346,|1|Training,Autophagy Protein,78.05%
347,|1|Training,Non-autophagy protein,62.35%
348,|1|Training,Non-autophagy protein,93.82%
349,|1|Training,Non-autophagy protein,99.63%
350,|1|Training,Non-autophagy protein,97.48%
351,|1|Training,Non-autophagy protein,68.14%
352,|1|Training,Non-autophagy protein,83.56%
353,|1|Training,Non-autophagy protein,54.51%
354,|1|Training,Non-autophagy protein,96.41%
355,|1|Training,Non-autophagy protein,80.15%
356,|1|Training,Non-autophagy protein,94.02%
357,|1|Training,Non-autophagy protein,75.57%
358,|1|Training,Non-autophagy protein,80.36%
359,|1|Training,Non-autophagy protein,65.82%
360,|1|Training,Non-autophagy protein,56.01%
361,|1|Training,Autophagy Protein,79.63%
362,|1|Training,Non-autophagy protein,96.28%
363,|1|Training,Non-autophagy protein,94.24%
364,|1|Training,Non-autophagy protein,97.30%
365,|1|Training,Non-autophagy protein,61.90%
366,|1|Training,Non-autophagy protein,78.49%
367,|1|Training,Non-autophagy protein,84.25%
368,|1|Training,Autophagy Protein,55.08%
369,|1|Training,Non-autophagy protein,89.73%
370,|1|Training,Non-autophagy protein,82.84%
371,|1|Training,Non-autophagy protein,94.05%
372,|1|Training,Autophagy Protein,71.32%
373,|1|Training,Autophagy Protein,56.22%
374,|1|Training,Autophagy Protein,62.99%
375,|1|Training,Autophagy Protein,57.39%
376,|1|Training,Non-autophagy protein,85.55%
377,|1|Training,Non-autophagy protein,72.87%
378,|1|Training,Autophagy Protein,63.05%
379,|1|Training,Autophagy Protein,94.96%
380,|1|Training,Non-autophagy protein,55.92%
381,|1|Training,Non-autophagy protein,85.15%
382,|1|Training,Autophagy Protein,81.12%
383,|1|Training,Non-autophagy protein,76.57%
384,|1|Training,Non-autophagy protein,96.10%
385,|1|Training,Non-autophagy protein,80.69%
386,|1|Training,Non-autophagy protein,92.18%
387,|1|Training,Non-autophagy protein,94.21%
388,|1|Training,Non-autophagy protein,97.46%
389,|1|Training,Non-autophagy protein,79.91%
390,|1|Training,Non-autophagy protein,82.25%
391,|1|Training,Non-autophagy protein,91.37%
392,|1|Training,Non-autophagy protein,93.94%
393,|1|Training,Non-autophagy protein,98.54%
394,|1|Training,Non-autophagy protein,98.26%
395,|1|Training,Non-autophagy protein,98.70%
396,|1|Training,Non-autophagy protein,96.60%
397,|1|Training,Non-autophagy protein,98.38%
398,|1|Training,Non-autophagy protein,97.45%
399,|1|Training,Non-autophagy protein,96.84%
400,|1|Training,Non-autophagy protein,97.02%
401,|1|Training,Non-autophagy protein,96.90%
402,|1|Training,Non-autophagy protein,90.98%
403,|1|Training,Non-autophagy protein,95.33%
404,|1|Training,Non-autophagy protein,94.86%
405,|1|Training,Non-autophagy protein,94.86%
406,|1|Training,Non-autophagy protein,96.65%
407,|1|Training,Non-autophagy protein,90.18%
408,|1|Training,Non-autophagy protein,81.71%
409,|1|Training,Non-autophagy protein,89.59%
410,|1|Training,Non-autophagy protein,97.31%
411,|1|Training,Non-autophagy protein,89.90%
412,|1|Training,Non-autophagy protein,87.54%
413,|1|Training,Non-autophagy protein,93.70%
414,|1|Training,Non-autophagy protein,81.11%
415,|1|Training,Non-autophagy protein,95.65%
416,|1|Training,Non-autophagy protein,95.87%
417,|1|Training,Non-autophagy protein,90.86%
418,|1|Training,Non-autophagy protein,99.74%
419,|1|Training,Non-autophagy protein,90.44%
420,|1|Training,Non-autophagy protein,85.06%
421,|1|Training,Non-autophagy protein,77.55%
422,|1|Training,Non-autophagy protein,94.63%
423,|1|Training,Non-autophagy protein,82.02%
424,|1|Training,Non-autophagy protein,94.86%
425,|1|Training,Non-autophagy protein,61.97%
426,|1|Training,Non-autophagy protein,83.94%
427,|1|Training,Non-autophagy protein,93.14%
428,|1|Training,Non-autophagy protein,93.81%
429,|1|Training,Non-autophagy protein,86.96%
430,|1|Training,Non-autophagy protein,89.24%
431,|1|Training,Non-autophagy protein,97.74%
432,|1|Training,Non-autophagy protein,92.34%
433,|1|Training,Non-autophagy protein,94.05%
434,|1|Training,Non-autophagy protein,95.13%
435,|1|Training,Non-autophagy protein,98.43%
436,|1|Training,Non-autophagy protein,96.21%
437,|1|Training,Non-autophagy protein,98.25%
438,|1|Training,Non-autophagy protein,99.11%
439,|1|Training,Non-autophagy protein,61.96%
440,|1|Training,Non-autophagy protein,99.87%
441,|1|Training,Non-autophagy protein,96.80%
442,|1|Training,Non-autophagy protein,97.58%
443,|1|Training,Non-autophagy protein,99.79%
444,|1|Training,Non-autophagy protein,97.40%
445,|1|Training,Non-autophagy protein,99.75%
446,|1|Training,Non-autophagy protein,97.24%
447,|1|Training,Non-autophagy protein,99.20%
448,|1|Training,Non-autophagy protein,97.56%
449,|1|Training,Non-autophagy protein,94.29%
450,|1|Training,Non-autophagy protein,97.28%
451,|1|Training,Non-autophagy protein,93.83%
452,|1|Training,Non-autophagy protein,97.41%
453,|1|Training,Non-autophagy protein,99.31%
454,|1|Training,Non-autophagy protein,82.41%
455,|1|Training,Non-autophagy protein,84.69%
456,|1|Training,Non-autophagy protein,72.78%
457,|1|Training,Non-autophagy protein,95.39%
458,|1|Training,Autophagy Protein,65.13%
459,|1|Training,Non-autophagy protein,84.19%
460,|1|Training,Non-autophagy protein,95.17%
461,|1|Training,Non-autophagy protein,99.62%
462,|1|Training,Autophagy Protein,89.02%
463,|1|Training,Non-autophagy protein,70.67%
464,|1|Training,Non-autophagy protein,96.58%
465,|1|Training,Non-autophagy protein,65.60%
466,|1|Training,Non-autophagy protein,71.46%
467,|1|Training,Non-autophagy protein,72.28%
468,|1|Training,Non-autophagy protein,98.48%
469,|1|Training,Non-autophagy protein,79.05%
470,|1|Training,Non-autophagy protein,92.13%
471,|1|Training,Non-autophagy protein,97.50%
472,|1|Training,Non-autophagy protein,99.21%
473,|1|Training,Non-autophagy protein,98.50%
474,|1|Training,Non-autophagy protein,91.35%
475,|1|Training,Non-autophagy protein,99.60%
476,|1|Training,Autophagy Protein,57.45%
477,|1|Training,Non-autophagy protein,99.92%
478,|1|Training,Autophagy Protein,95.99%
479,|1|Training,Non-autophagy protein,99.55%
480,|1|Training,Non-autophagy protein,99.57%
481,|1|Training,Non-autophagy protein,96.06%
482,|1|Training,Non-autophagy protein,62.77%
483,|1|Training,Non-autophagy protein,93.93%
484,|1|Training,Non-autophagy protein,75.91%
485,|1|Training,Non-autophagy protein,96.70%
486,|1|Training,Non-autophagy protein,97.75%
487,|1|Training,Non-autophagy protein,94.61%
488,|1|Training,Non-autophagy protein,97.85%
489,|1|Training,Non-autophagy protein,86.96%
490,|1|Training,Non-autophagy protein,98.78%
491,|1|Training,Non-autophagy protein,84.04%
492,|1|Training,Non-autophagy protein,83.32%
493,|1|Training,Autophagy Protein,63.24%
494,|1|Training,Non-autophagy protein,95.16%
495,|1|Training,Non-autophagy protein,97.47%
496,|1|Training,Non-autophagy protein,64.93%
497,|1|Training,Non-autophagy protein,53.44%
498,|1|Training,Non-autophagy protein,94.13%
499,|1|Training,Non-autophagy protein,97.90%
500,|1|Training,Non-autophagy protein,98.61%
501,|1|Training,Non-autophagy protein,98.36%
502,|1|Training,Non-autophagy protein,80.35%
503,|1|Training,Non-autophagy protein,63.25%
504,|1|Training,Non-autophagy protein,94.22%
505,|1|Training,Non-autophagy protein,98.20%
506,|1|Training,Non-autophagy protein,80.08%
507,|1|Training,Non-autophagy protein,72.30%
508,|1|Training,Non-autophagy protein,96.48%
509,|1|Training,Non-autophagy protein,97.47%
510,|1|Training,Autophagy Protein,56.64%
511,|1|Training,Non-autophagy protein,92.88%
512,|1|Training,Non-autophagy protein,97.75%
513,|1|Training,Non-autophagy protein,98.72%
514,|1|Training,Non-autophagy protein,89.13%
515,|1|Training,Autophagy Protein,79.63%
516,|1|Training,Autophagy Protein,63.72%
517,|1|Training,Non-autophagy protein,99.10%
518,|1|Training,Non-autophagy protein,99.53%
519,|1|Training,Autophagy Protein,69.24%
520,|1|Training,Autophagy Protein,69.80%
521,|1|Training,Non-autophagy protein,89.46%
522,|1|Training,Non-autophagy protein,99.53%
523,|1|Training,Non-autophagy protein,77.47%
524,|1|Training,Non-autophagy protein,94.46%
525,|1|Training,Non-autophagy protein,96.89%
526,|1|Training,Non-autophagy protein,96.88%
527,|1|Training,Autophagy Protein,59.44%
528,|1|Training,Non-autophagy protein,81.07%
529,|1|Training,Non-autophagy protein,88.63%
530,|1|Training,Non-autophagy protein,96.98%
531,|1|Training,Non-autophagy protein,59.45%
532,|1|Training,Non-autophagy protein,98.86%
533,|1|Training,Non-autophagy protein,98.74%
534,|1|Training,Non-autophagy protein,89.90%
535,|1|Training,Non-autophagy protein,95.56%
536,|1|Training,Non-autophagy protein,99.52%
537,|1|Training,Non-autophagy protein,87.22%
538,|1|Training,Non-autophagy protein,99.42%
539,|1|Training,Non-autophagy protein,76.85%
540,|1|Training,Non-autophagy protein,91.10%
541,|1|Training,Non-autophagy protein,99.12%
542,|1|Training,Non-autophagy protein,85.83%
543,|1|Training,Non-autophagy protein,94.81%
544,|1|Training,Non-autophagy protein,59.95%
545,|1|Training,Non-autophagy protein,97.47%
546,|1|Training,Autophagy Protein,85.86%
547,|1|Training,Autophagy Protein,98.19%
548,|1|Training,Non-autophagy protein,79.19%
549,|1|Training,Non-autophagy protein,94.26%
550,|1|Training,Non-autophagy protein,95.12%
551,|1|Training,Non-autophagy protein,98.97%
552,|1|Training,Non-autophagy protein,86.73%
553,|1|Training,Non-autophagy protein,50.00%
554,|1|Training,Non-autophagy protein,98.76%
555,|1|Training,Non-autophagy protein,76.22%
556,|1|Training,Non-autophagy protein,97.61%
557,|1|Training,Autophagy Protein,75.57%
558,|1|Training,Non-autophagy protein,97.25%
559,|1|Training,Non-autophagy protein,97.26%
560,|1|Training,Non-autophagy protein,81.99%
561,|1|Training,Non-autophagy protein,99.62%
562,|1|Training,Non-autophagy protein,96.18%
563,|1|Training,Non-autophagy protein,96.58%
564,|1|Training,Non-autophagy protein,86.56%
565,|1|Training,Non-autophagy protein,94.12%
566,|1|Training,Non-autophagy protein,74.06%
567,|1|Training,Non-autophagy protein,95.62%
568,|1|Training,Non-autophagy protein,99.26%
569,|1|Training,Non-autophagy protein,99.08%
570,|1|Training,Non-autophagy protein,82.96%
571,|1|Training,Non-autophagy protein,97.19%
572,|1|Training,Non-autophagy protein,90.34%
573,|1|Training,Non-autophagy protein,99.09%
574,|1|Training,Non-autophagy protein,87.01%
575,|1|Training,Autophagy Protein,79.58%
576,|1|Training,Non-autophagy protein,92.30%
577,|1|Training,Non-autophagy protein,51.69%
578,|1|Training,Non-autophagy protein,99.75%
579,|1|Training,Non-autophagy protein,58.27%
580,|1|Training,Autophagy Protein,95.80%
581,|1|Training,Non-autophagy protein,98.94%
582,|1|Training,Non-autophagy protein,92.21%
583,|1|Training,Non-autophagy protein,90.66%
584,|1|Training,Non-autophagy protein,99.74%
585,|1|Training,Non-autophagy protein,97.38%
586,|1|Training,Non-autophagy protein,71.92%
587,|1|Training,Non-autophagy protein,92.37%
588,|1|Training,Non-autophagy protein,94.33%
589,|1|Training,Autophagy Protein,56.00%
590,|1|Training,Non-autophagy protein,97.23%
591,|1|Training,Non-autophagy protein,92.69%
592,|1|Training,Autophagy Protein,96.19%
593,|1|Training,Non-autophagy protein,87.47%
594,|1|Training,Non-autophagy protein,88.31%
595,|1|Training,Non-autophagy protein,90.60%
596,|1|Training,Non-autophagy protein,98.37%
597,|1|Training,Non-autophagy protein,93.98%
598,|1|Training,Non-autophagy protein,98.53%
599,|1|Training,Non-autophagy protein,83.93%
600,|1|Training,Non-autophagy protein,91.73%
601,|1|Training,Non-autophagy protein,83.85%
602,|1|Training,Non-autophagy protein,89.87%
603,|1|Training,Non-autophagy protein,97.71%
604,|1|Training,Non-autophagy protein,96.49%
605,|1|Training,Non-autophagy protein,99.09%
606,|1|Training,Autophagy Protein,65.47%
607,|1|Training,Non-autophagy protein,93.39%
608,|1|Training,Non-autophagy protein,99.32%
609,|1|Training,Non-autophagy protein,90.79%
